Range,0,1,2,3,4,5,micro f1
0-255,0.664,0.597,0.639,0.792,0.822,0.846,0.777
256-511,0.475,0.549,0.593,0.763,0.786,0.808,0.716
512-767,0.442,0.402,0.553,0.668,0.727,0.729,0.641
5000-5255,0.452,0.448,0.539,0.683,0.755,0.758,0.634
last,0.411,0.504,0.553,0.690,0.759,0.777,0.678
0+256,0.475,0.549,0.593,0.763,0.786,0.808,0.716
64+192,0.619,0.570,0.610,0.771,0.816,0.819,0.739
128+128,0.641,0.574,0.627,0.771,0.833,0.825,0.755
192+64,0.635,0.591,0.653,0.790,0.834,0.846,0.765
256+0,0.664,0.597,0.639,0.792,0.822,0.846,0.777
